COUNTY,Total Active Cases,Total Recovered,Total Deaths,Date
Grant,11,1,0,1/5/2022
Griggs,12,2,0,1/5/2022
Hettinger,7,7,0,1/5/2022
Kidder,2,0,0,1/5/2022
LaMoure,13,3,0,1/5/2022
Logan,6,1,0,1/5/2022
McHenry,8,1,0,1/5/2022
McIntosh,2,0,0,1/5/2022
McKenzie,43,8,0,1/5/2022
McLean,19,5,0,1/5/2022
Mercer,20,4,0,1/5/2022
Morton,143,46,0,1/5/2022
Mountrail,56,6,0,1/5/2022
Nelson,5,0,0,1/5/2022
Oliver,2,1,0,1/5/2022
Pembina,18,3,0,1/5/2022
Pierce,5,0,0,1/5/2022
Ramsey,44,5,0,1/5/2022
Ransom,10,2,0,1/5/2022
Renville,4,0,0,1/5/2022
Richland,36,3,0,1/5/2022
Rolette,275,12,0,1/5/2022
Sargent,9,2,0,1/5/2022
Sheridan,1,1,0,1/5/2022
Sioux,32,2,0,1/5/2022
Slope,0,0,0,1/5/2022
Stark,89,14,0,1/5/2022
Steele,3,2,0,1/5/2022
Stutsman,66,15,0,1/5/2022
Towner,4,1,0,1/5/2022
Traill,16,4,0,1/5/2022
Unknown,0,0,0,1/5/2022
Walsh,19,1,0,1/5/2022
Ward,266,39,0,1/5/2022
Wells,22,6,0,1/5/2022
Williams,98,27,0,1/5/2022
Adams,6,0,0,1/6/2022
Barnes,33,9,0,1/6/2022
Benson,17,1,0,1/6/2022
Billings,0,0,0,1/6/2022
Bottineau,17,3,0,1/6/2022
Bowman,3,1,0,1/6/2022
Burke,2,0,0,1/6/2022
Burleigh,563,120,1,1/6/2022
Cass,1560,259,0,1/6/2022
Cavalier,5,1,0,1/6/2022
Dickey,11,1,0,1/6/2022
Divide,4,2,0,1/6/2022
Dunn,7,0,0,1/6/2022
Eddy,9,7,0,1/6/2022
Emmons,3,1,0,1/6/2022
Foster,20,4,0,1/6/2022
Golden Valley,0,0,0,1/6/2022
Grand Forks,470,80,0,1/6/2022
Grant,11,2,0,1/6/2022
Griggs,12,2,0,1/6/2022
Hettinger,10,0,0,1/6/2022
Kidder,2,0,0,1/6/2022
LaMoure,17,1,0,1/6/2022
Logan,5,1,0,1/6/2022
McHenry,14,2,0,1/6/2022
McIntosh,3,1,0,1/6/2022
McKenzie,45,12,0,1/6/2022
McLean,21,5,0,1/6/2022
Mercer,23,4,0,1/6/2022
Morton,159,36,1,1/6/2022
Mountrail,60,7,0,1/6/2022
Nelson,7,1,0,1/6/2022
Oliver,2,1,0,1/6/2022
Pembina,14,5,0,1/6/2022
Pierce,7,0,0,1/6/2022
Ramsey,49,6,0,1/6/2022
Ransom,14,2,0,1/6/2022
Renville,9,1,0,1/6/2022
Richland,38,9,0,1/6/2022
Rolette,308,11,0,1/6/2022
Sargent,13,2,0,1/6/2022
Sheridan,1,1,0,1/6/2022
Sioux,40,2,0,1/6/2022
Slope,0,0,0,1/6/2022
Stark,116,13,0,1/6/2022
Steele,1,2,0,1/6/2022
Stutsman,82,20,0,1/6/2022
Towner,6,1,0,1/6/2022
Traill,21,8,0,1/6/2022
Unknown,0,0,0,1/6/2022
Walsh,25,3,0,1/6/2022
Ward,324,50,1,1/6/2022
Wells,19,13,0,1/6/2022
Williams,115,25,0,1/6/2022
Adams,5,1,0,1/7/2022
Barnes,40,7,0,1/7/2022
Benson,21,4,0,1/7/2022
Billings,0,0,0,1/7/2022
Bottineau,19,2,0,1/7/2022
Bowman,3,1,0,1/7/2022
Burke,4,0,0,1/7/2022
Burleigh,591,115,0,1/7/2022
Cass,1699,324,0,1/7/2022
Cavalier,11,1,0,1/7/2022
Dickey,19,2,0,1/7/2022
Divide,3,1,0,1/7/2022
Dunn,6,3,0,1/7/2022
Eddy,11,0,0,1/7/2022
Emmons,3,0,0,1/7/2022
Foster,24,4,0,1/7/2022
Golden Valley,3,0,0,1/7/2022
Grand Forks,512,87,0,1/7/2022
Grant,11,3,0,1/7/2022
Griggs,20,0,0,1/7/2022
Hettinger,8,3,0,1/7/2022
Kidder,3,0,0,1/7/2022
LaMoure,17,7,0,1/7/2022
Logan,7,0,0,1/7/2022
McHenry,16,1,0,1/7/2022
McIntosh,4,0,0,1/7/2022
McKenzie,41,14,0,1/7/2022
McLean,29,4,0,1/7/2022
Mercer,27,7,0,1/7/2022
Morton,161,39,0,1/7/2022
Mountrail,65,10,0,1/7/2022
Nelson,6,2,0,1/7/2022
Oliver,3,0,0,1/7/2022
Pembina,25,3,0,1/7/2022
Pierce,10,2,0,1/7/2022
Ramsey,49,18,1,1/7/2022
Ransom,18,1,0,1/7/2022
Renville,6,3,0,1/7/2022
Richland,45,9,0,1/7/2022
Rolette,398,28,0,1/7/2022
Sargent,15,0,0,1/7/2022
Sheridan,0,1,0,1/7/2022
Sioux,40,3,1,1/7/2022
Slope,0,0,0,1/7/2022
Stark,122,31,0,1/7/2022
Steele,1,0,0,1/7/2022
Stutsman,96,17,0,1/7/2022
Towner,5,2,0,1/7/2022
Traill,28,3,0,1/7/2022
Unknown,0,0,0,1/7/2022
Walsh,27,6,0,1/7/2022
Ward,356,74,0,1/7/2022
Wells,22,4,0,1/7/2022
Williams,122,29,0,1/7/2022
Adams,4,1,0,1/8/2022
Barnes,29,13,0,1/8/2022
Benson,19,7,0,1/8/2022
Billings,1,0,0,1/8/2022
Bottineau,14,7,0,1/8/2022
Bowman,4,1,0,1/8/2022
Burke,2,3,0,1/8/2022
Burleigh,526,190,1,1/8/2022
Cass,1239,611,1,1/8/2022
Cavalier,6,5,0,1/8/2022
Dickey,16,4,0,1/8/2022
Divide,3,0,0,1/8/2022
Dunn,4,2,0,1/8/2022
Eddy,10,2,0,1/8/2022
Emmons,3,1,0,1/8/2022
Foster,18,8,0,1/8/2022
Golden Valley,4,0,0,1/8/2022
Grand Forks,435,146,1,1/8/2022
Grant,9,3,0,1/8/2022
Griggs,10,11,0,1/8/2022
Hettinger,7,4,0,1/8/2022
Kidder,2,2,0,1/8/2022
LaMoure,13,4,0,1/8/2022
Logan,3,4,0,1/8/2022
McHenry,10,7,0,1/8/2022
McIntosh,5,0,0,1/8/2022
McKenzie,31,16,0,1/8/2022
McLean,25,7,0,1/8/2022
Mercer,27,9,0,1/8/2022
Morton,154,50,0,1/8/2022
Mountrail,40,29,0,1/8/2022
Nelson,3,3,0,1/8/2022
Oliver,3,2,0,1/8/2022
Pembina,16,12,0,1/8/2022
Pierce,9,3,0,1/8/2022
Ramsey,43,15,0,1/8/2022
Ransom,11,8,0,1/8/2022
Renville,9,1,0,1/8/2022
Richland,38,11,0,1/8/2022
Rolette,385,30,0,1/8/2022
Sargent,8,8,0,1/8/2022
Sheridan,0,0,0,1/8/2022
Sioux,44,3,0,1/8/2022
Slope,0,0,0,1/8/2022
Stark,91,43,0,1/8/2022
Steele,0,1,0,1/8/2022
Stutsman,77,25,0,1/8/2022
Towner,3,2,0,1/8/2022
Traill,24,9,0,1/8/2022
Unknown,0,0,0,1/8/2022
Walsh,27,8,0,1/8/2022
Ward,264,139,0,1/8/2022
Wells,15,8,0,1/8/2022
Williams,98,42,0,1/8/2022
Adams,6,0,0,1/9/2022
Barnes,25,6,0,1/9/2022
Benson,14,5,0,1/9/2022
Billings,1,0,0,1/9/2022
Bottineau,12,3,0,1/9/2022
Bowman,3,2,0,1/9/2022
Burke,3,0,0,1/9/2022
Burleigh,546,118,0,1/9/2022
Cass,1152,257,2,1/9/2022
Cavalier,6,0,0,1/9/2022
Dickey,16,1,0,1/9/2022
Divide,2,1,0,1/9/2022
Dunn,3,1,0,1/9/2022
Eddy,10,1,0,1/9/2022
Emmons,3,0,0,1/9/2022
Foster,18,3,0,1/9/2022
Golden Valley,4,1,0,1/9/2022
Grand Forks,398,80,0,1/9/2022
Grant,7,3,0,1/9/2022
Griggs,10,0,0,1/9/2022
Hettinger,7,2,0,1/9/2022
Kidder,2,0,0,1/9/2022
